depth;nodes;"#nonTransitiveEdges";"#transitiveEdges";"#totalEdges";"#workers";bandwidthMbits;minRuntimeMS;maxRuntimeMS;averageRuntimeMS
5;63;30;68;98;2;2000.0;4.0;25.0;11.333333333333334
5;63;30;68;98;4;2000.0;4.0;79.0;30.666666666666664
8;511;254;1284;1538;2;2000.0;16.0;40.0;30.333333333333332
8;511;254;1284;1538;4;2000.0;42.0;57.0;51.666666666666664
10;2047;1022;7172;8194;2;2000.0;55.0;100.0;77.0
10;2047;1022;7172;8194;4;2000.0;9.0;66.0;38.333333333333336
11;4095;2046;16388;18434;2;2000.0;52.0;103.0;83.66666666666667
11;4095;2046;16388;18434;4;2000.0;63.0;73.0;67.66666666666667
12;8191;4094;36868;40962;2;2000.0;251.0;369.0;296.0
12;8191;4094;36868;40962;4;2000.0;81.0;214.0;131.66666666666666
