benchmarkType;approach;numWorkers;messageDistribution;NumberOfReceivedAxiomCountMessages;SumOfReceivedAxiomsEqualsSumOfSentAxiomsEvent;WorkerInitializationTimeMS;TotalSaturationTimeMS;CollectingClosureResultsTimeMS
Echo;distributed_docker;1;send_all_messages_over_network;7;1;59;29648;4744
Echo;distributed_docker;1;add_own_messages_directly_to_todo;9;1;25;23213;4642
BinaryTree;distributed_docker;1;send_all_messages_over_network;23;1;79;33567;6848
BinaryTree;distributed_docker;1;add_own_messages_directly_to_todo;3;1;29;28359;7287
Echo;distributed_docker;4;send_all_messages_over_network;46;1;82;13147;2930
Echo;distributed_docker;4;add_own_messages_directly_to_todo;69;1;60;10102;2725
BinaryTree;distributed_docker;4;send_all_messages_over_network;1374;1;103;9557;8004
BinaryTree;distributed_docker;4;add_own_messages_directly_to_todo;879;1;66;9909;7113
Echo;distributed_docker;8;send_all_messages_over_network;159;1;138;9949;3282
Echo;distributed_docker;8;add_own_messages_directly_to_todo;302;1;121;5749;2980
BinaryTree;distributed_docker;8;send_all_messages_over_network;4170;1;120;9934;7752
BinaryTree;distributed_docker;8;add_own_messages_directly_to_todo;3755;1;143;7591;7204
Echo;single;1;add_own_messages_directly_to_todo;0;0;0;27888;0
Echo;multithreaded;1;add_own_messages_directly_to_todo;2;1;0;30917;1187
Echo;distributed_multithreaded;1;send_all_messages_over_network;7;1;29;30508;5413
Echo;distributed_separate_jvm;1;send_all_messages_over_network;7;1;27;31326;4325
Echo;distributed_multithreaded;1;add_own_messages_directly_to_todo;8;1;18;22315;5389
Echo;distributed_separate_jvm;1;add_own_messages_directly_to_todo;8;1;33;14745;4754
BinaryTree;single;1;add_own_messages_directly_to_todo;0;0;0;21945;0
BinaryTree;multithreaded;1;add_own_messages_directly_to_todo;2;1;0;24316;5141
BinaryTree;distributed_multithreaded;1;send_all_messages_over_network;4;1;23;29470;6775
BinaryTree;distributed_separate_jvm;1;send_all_messages_over_network;4;1;27;24438;6551
BinaryTree;distributed_multithreaded;1;add_own_messages_directly_to_todo;3;1;14;23782;6774
BinaryTree;distributed_separate_jvm;1;add_own_messages_directly_to_todo;3;1;31;21976;6936
Echo;multithreaded;4;add_own_messages_directly_to_todo;288705;1;0;11818;1654
Echo;distributed_multithreaded;4;send_all_messages_over_network;94;1;58;10684;2691
Echo;distributed_separate_jvm;4;send_all_messages_over_network;77;1;51;10531;2152
Echo;distributed_multithreaded;4;add_own_messages_directly_to_todo;115;1;29;9602;2455
Echo;distributed_separate_jvm;4;add_own_messages_directly_to_todo;77;1;42;9945;2102
BinaryTree;multithreaded;4;add_own_messages_directly_to_todo;24223;1;0;11233;6398
BinaryTree;distributed_multithreaded;4;send_all_messages_over_network;713;1;41;10218;7647
BinaryTree;distributed_separate_jvm;4;send_all_messages_over_network;1088;1;43;9008;7448
BinaryTree;distributed_multithreaded;4;add_own_messages_directly_to_todo;351;1;29;10676;7142
BinaryTree;distributed_separate_jvm;4;add_own_messages_directly_to_todo;407;1;36;9808;6957
Echo;multithreaded;8;add_own_messages_directly_to_todo;1250531;1;0;8485;1635
Echo;distributed_multithreaded;8;send_all_messages_over_network;487;1;72;6354;3468
Echo;distributed_separate_jvm;8;send_all_messages_over_network;438;1;72;6237;2995
Echo;distributed_multithreaded;8;add_own_messages_directly_to_todo;511;1;37;5627;3275
Echo;distributed_separate_jvm;8;add_own_messages_directly_to_todo;177;1;86;5825;2866
BinaryTree;multithreaded;8;add_own_messages_directly_to_todo;33499;1;0;12384;6325
BinaryTree;distributed_multithreaded;8;send_all_messages_over_network;5488;1;71;9028;7082
BinaryTree;distributed_separate_jvm;8;send_all_messages_over_network;5202;1;81;8699;8073
BinaryTree;distributed_multithreaded;8;add_own_messages_directly_to_todo;3916;1;27;9950;7589
BinaryTree;distributed_separate_jvm;8;add_own_messages_directly_to_todo;2798;1;113;7641;7444
