benchmarkType;approach;numWorkers;messageDistribution;AVGWorkerInitializingConnectionsToOtherWorkersMS;AVGWorkerWaitingTimeWhileSaturationMS;AVGApplyingRulesTimeWhileSaturationMS;AVGDistributingAxiomsTimeMS;AVGToDoIsEmptyEvent;AVGNumberOfProcessedAxioms;AVGNumberOfDerivedInferences;AVGNumberOfSentAxioms;AVGNumberOfReceivedAxioms
Echo;distributed_docker;1;send_all_messages_over_network;33.0;51.0;16464.0;7892.0;6.0;1.0E7;1.0E7;1.0E7;1.5E7
Echo;distributed_docker;1;add_own_messages_directly_to_todo;0.0;26.0;14173.0;4427.0;8.0;1.0E7;1.0E7;0.0;5000000.0
BinaryTree;distributed_docker;1;send_all_messages_over_network;34.0;35.0;24759.0;2976.0;22.0;9437184.0;8912898.0;8912898.0;9437184.0
BinaryTree;distributed_docker;1;add_own_messages_directly_to_todo;0.0;20.0;21240.0;4109.0;2.0;9437184.0;8912898.0;0.0;524286.0
Echo;distributed_docker;4;send_all_messages_over_network;136.25;4157.5;3755.5;2050.0;10.5;2500000.0;2500000.0;2500000.0;3750000.0
Echo;distributed_docker;4;add_own_messages_directly_to_todo;52.5;3066.5;2917.5;2190.5;16.25;2500000.0;2500000.0;2500000.0;3750000.0
BinaryTree;distributed_docker;4;send_all_messages_over_network;135.0;622.75;5989.5;830.25;342.5;2359296.0;2228224.5;2228224.5;2359296.0
BinaryTree;distributed_docker;4;add_own_messages_directly_to_todo;75.75;2110.0;5069.25;1063.0;218.75;2359296.0;2228224.5;1672033.5;1803105.0
Echo;distributed_docker;8;send_all_messages_over_network;339.75;3730.0;2788.25;1084.125;18.875;1250000.0;1250000.0;1250000.0;1875000.0
Echo;distributed_docker;8;add_own_messages_directly_to_todo;215.25;1656.875;1729.0;801.625;36.75;1250000.0;1250000.0;1250000.0;1875000.0
BinaryTree;distributed_docker;8;send_all_messages_over_network;376.75;1611.375;5292.625;632.25;520.25;1179648.0;1114112.25;1114112.25;1179648.0
BinaryTree;distributed_docker;8;add_own_messages_directly_to_todo;230.875;1082.25;4061.25;701.25;468.375;1179648.0;1114112.25;974322.125;1039857.875
Echo;single;1;add_own_messages_directly_to_todo;0.0;0.0;23991.0;1281.0;1.0;1.0E7;1.0E7;0.0;0.0
Echo;multithreaded;1;add_own_messages_directly_to_todo;0.0;3.0;17793.0;8173.0;2.0;1.0E7;1.0E7;0.0;1.5E7
Echo;distributed_multithreaded;1;send_all_messages_over_network;21.0;74.0;16643.0;5658.0;6.0;1.0E7;1.0E7;1.0E7;1.5E7
Echo;distributed_separate_jvm;1;send_all_messages_over_network;20.0;7.0;16639.0;7987.0;6.0;1.0E7;1.0E7;1.0E7;1.5E7
Echo;distributed_multithreaded;1;add_own_messages_directly_to_todo;0.0;35.0;14374.0;4108.0;7.0;1.0E7;1.0E7;0.0;5000000.0
Echo;distributed_separate_jvm;1;add_own_messages_directly_to_todo;0.0;45.0;8546.0;2474.0;7.0;1.0E7;1.0E7;0.0;5000000.0
BinaryTree;single;1;add_own_messages_directly_to_todo;0.0;0.0;19130.0;966.0;1.0;9437184.0;8912898.0;0.0;0.0
BinaryTree;multithreaded;1;add_own_messages_directly_to_todo;0.0;5.0;20138.0;2184.0;2.0;9437184.0;8912898.0;0.0;9437184.0
BinaryTree;distributed_multithreaded;1;send_all_messages_over_network;75.0;4.0;21066.0;3450.0;3.0;9437184.0;8912898.0;8912898.0;9437184.0
BinaryTree;distributed_separate_jvm;1;send_all_messages_over_network;113.0;4.0;16860.0;2034.0;3.0;9437184.0;8912898.0;8912898.0;9437184.0
BinaryTree;distributed_multithreaded;1;add_own_messages_directly_to_todo;0.0;19.0;19460.0;2024.0;2.0;9437184.0;8912898.0;0.0;524286.0
BinaryTree;distributed_separate_jvm;1;add_own_messages_directly_to_todo;0.0;17.0;16577.0;2411.0;2.0;9437184.0;8912898.0;0.0;524286.0
Echo;multithreaded;4;add_own_messages_directly_to_todo;0.0;1378.5;3749.5;3889.5;72176.25;2500000.0;2500000.0;0.0;3750000.0
Echo;distributed_multithreaded;4;send_all_messages_over_network;58.5;2415.75;2984.75;2342.5;22.5;2500000.0;2500000.0;2500000.0;3750000.0
Echo;distributed_separate_jvm;4;send_all_messages_over_network;134.75;3048.0;2968.75;1742.25;18.25;2500000.0;2500000.0;2500000.0;3750000.0
Echo;distributed_multithreaded;4;add_own_messages_directly_to_todo;19.0;1637.75;2671.25;2824.0;27.75;2500000.0;2500000.0;2500000.0;3750000.0
Echo;distributed_separate_jvm;4;add_own_messages_directly_to_todo;95.0;3249.0;2951.5;1721.75;18.25;2500000.0;2500000.0;2500000.0;3750000.0
BinaryTree;multithreaded;4;add_own_messages_directly_to_todo;0.0;171.25;7105.5;2643.25;6055.75;2359296.0;2228224.5;0.0;2359296.0
BinaryTree;distributed_multithreaded;4;send_all_messages_over_network;45.5;296.75;6506.0;1136.25;177.25;2359296.0;2228224.5;2228224.5;2359296.0
BinaryTree;distributed_separate_jvm;4;send_all_messages_over_network;148.5;491.5;5687.0;697.75;271.0;2359296.0;2228224.5;2228224.5;2359296.0
BinaryTree;distributed_multithreaded;4;add_own_messages_directly_to_todo;13.0;552.75;6938.75;1163.75;86.75;2359296.0;2228224.5;1672651.0;1803722.5
BinaryTree;distributed_separate_jvm;4;add_own_messages_directly_to_todo;81.25;847.0;6198.25;869.5;100.75;2359296.0;2228224.5;1672651.0;1803722.5
Echo;multithreaded;8;add_own_messages_directly_to_todo;0.0;3345.625;1842.5;1957.25;156316.375;1250000.0;1250000.0;0.0;1875000.0
Echo;distributed_multithreaded;8;send_all_messages_over_network;110.125;1927.875;1439.625;1253.625;59.875;1250000.0;1250000.0;1250000.0;1875000.0
Echo;distributed_separate_jvm;8;send_all_messages_over_network;250.75;1700.625;2036.25;723.625;53.75;1250000.0;1250000.0;1250000.0;1875000.0
Echo;distributed_multithreaded;8;add_own_messages_directly_to_todo;65.125;1754.5;1349.25;1089.125;62.875;1250000.0;1250000.0;1250000.0;1875000.0
Echo;distributed_separate_jvm;8;add_own_messages_directly_to_todo;224.375;1416.875;2037.5;646.375;21.125;1250000.0;1250000.0;1250000.0;1875000.0
BinaryTree;multithreaded;8;add_own_messages_directly_to_todo;0.0;206.0;4524.375;6925.0;4187.375;1179648.0;1114112.25;0.0;1179648.0
BinaryTree;distributed_multithreaded;8;send_all_messages_over_network;125.75;621.125;5022.25;965.125;685.0;1179648.0;1114112.25;1114112.25;1179648.0
BinaryTree;distributed_separate_jvm;8;send_all_messages_over_network;252.375;1029.625;4792.0;667.125;649.25;1179648.0;1114112.25;1114112.25;1179648.0
BinaryTree;distributed_multithreaded;8;add_own_messages_directly_to_todo;62.875;1525.0;4915.125;1190.25;488.5;1179648.0;1114112.25;975244.875;1040780.625
BinaryTree;distributed_separate_jvm;8;add_own_messages_directly_to_todo;198.75;828.625;4410.75;529.75;348.75;1179648.0;1114112.25;975244.875;1040780.625
